# ============================================================;;;
# TIMINGS.csv — Todos los tiempos del juego (en días de juego);;;
# ============================================================;;;
# Columnas:;;;
#   Category : Cycle | Construction | Crop | Gather | System;;;
#   ID       : identificador único en código (igual que buildings.csv cuando aplique);;;
#   Name     : descripción legible;;;
#   Duration : duración en días de juego (excepto Cycle que usa segundos reales);;;
# ============================================================;;;
;;;
Category;ID;Name;Duration
Construction;warehouse_stone_t3;Mejora Almacén Piedra T3;80
Construction;warehouse_food;Construcción Almacén Alimentos;20
Construction;warehouse_food_t2;Mejora Almacén Alimentos T2;40
Construction;warehouse_food_t3;Mejora Almacén Alimentos T3;80
Construction;warehouse_seeds;Construcción Almacén Semillas;20
Construction;warehouse_seeds_t2;Mejora Almacén Semillas T2;40
Construction;warehouse_seeds_t3;Mejora Almacén Semillas T3;80

;;;
# --- CICLOS DE PRODUCCIÓN DE EDIFICIOS ---;;;
# Aserraderos;;;
Production;lumbermill_t1;Ciclo Producción Aserradero T1;90
Production;lumbermill_t2;Ciclo Producción Aserradero T2;90
Production;lumbermill_t3;Ciclo Producción Aserradero T3;90
;;;
# Canteras;;;
Production;quarry_t1;Ciclo Producción Cantera T1;90
Production;quarry_t2;Ciclo Producción Cantera T2;90
Production;quarry_t3;Ciclo Producción Cantera T3;90
;;;
# Fogatas / Cocinas;;;
Production;bonfire_t1_auto;Ciclo Cocinado Automático Fogata;300
Production;bonfire_t1_manual;Ciclo Cocinado Manual Fogata;300
Production;bonfire_t2_auto;Ciclo Cocinado Automático Caldero;250
Production;bonfire_t2_manual;Ciclo Cocinado Manual Caldero;250
Production;bonfire_t3_auto;Ciclo Cocinado Automático Cocina;150
Production;bonfire_t3_manual;Ciclo Cocinado Manual Cocina;150
;;;
# Graneros (producción de semillas por tipo y tier);;;
Production;granary_wheat_t1;Ciclo Semillas Trigo T1;20
Production;granary_wheat_t2;Ciclo Semillas Trigo T2;6300
Production;granary_wheat_t3;Ciclo Semillas Trigo T3;6300
Production;granary_potato_t1;Ciclo Semillas Patata T1;12600
Production;granary_potato_t2;Ciclo Semillas Patata T2;12600
Production;granary_potato_t3;Ciclo Semillas Patata T3;12600
Production;granary_carrot_t1;Ciclo Semillas Zanahoria T1;18900
Production;granary_carrot_t2;Ciclo Semillas Zanahoria T2;18900
Production;granary_carrot_t3;Ciclo Semillas Zanahoria T3;18900
;;;
# Mercados (ciclo auto compra/venta);;;
Production;market_t1;Ciclo Mercado T1;3
Production;market_t2;Ciclo Mercado T2;2
Production;market_t3;Ciclo Mercado T3;1
;;;
# Recolección manual con asignados (ciclo por colono);;;
Production;wood_auto;Ciclo Leñador Manual Asignado;90
Production;stone_auto;Ciclo Cantero Manual Asignado;90
Production;berries_auto;Ciclo Recolector Frutos Asignado;90
;;;
# --- ETAPAS DE CULTIVO (para granjas) ---;;;
Timing;farm_plow;Arar el Campo;450
Timing;farm_sow;Sembrar el Campo;450
Timing;farm_water;Riego Inicial;200
Timing;farm_water_daily;Riego Diario (por ciclo de crecimiento);150
;;;
# Duración de crecimiento por cultivo (desde sow hasta cosecha);;;
Timing;wheat;Crecimiento Trigo;50
Timing;potato;Crecimiento Patata;1800
Timing;carrot;Crecimiento Zanahoria;18900
;;;
# --- CRAFTEO (Paso E/G/K — futuro) ---;;;
Production;smithy_pickaxe_t1;Producir Pico Madera T1;5
Production;smithy_axe_t1;Producir Hacha Madera T1;4
Production;smithy_hoe_t1;Producir Azada Madera T1;3
Production;smithy_weapon_t1;Producir Arma Básica T1;8
Production;smithy_pickaxe_t2;Producir Pico Hierro T2;4
Production;smithy_axe_t2;Producir Hacha Hierro T2;3
Production;smithy_hoe_t2;Producir Azada Hierro T2;2.5
Production;smithy_weapon_t2;Producir Arma Hierro T2;6
Production;forge_iron_t1;Fundir Lingotes Hierro T1;3
Production;forge_iron_t2;Fundir Lingotes Hierro T2;2
Production;mill_flour_t1;Moler Harina T1;2
Production;mill_flour_t2;Moler Harina T2;1
Production;armory_leather;Fabricar Armadura Cuero;5
Production;armory_iron;Fabricar Armadura Hierro;8
