# ============================================================;;;;
# MECHANICS.csv — Constantes de mecánicas del juego;;;;
# Centraliza TODOS los valores numéricos hardcodeados en el JS;;;;
# ============================================================;;;;
# Columnas:;;;;
#   Category : grupo de la mecánica;;;;
#   ID       : clave usada en el código (CONFIG.Category.ID.value);;;;
#   Name     : descripción legible;;;;
#   Value    : valor numérico;;;;
#   Notes    : notas sobre el impacto de cambiar este valor;;;;
# ============================================================;;;;
;;;;
Category;ID;Name;Value;Notes
TierMult;farm_t3;Multiplicador Granja T3;2.5;+150% cosecha sobre T1
;;;;
TierMult;granary_t1;Multiplicador Granero T1;1;
TierMult;granary_t2;Multiplicador Granero T2;1;El granero T2 mejora velocidad no yield (en timings.csv)
TierMult;granary_t3;Multiplicador Granero T3;1;El granero T3 mejora yield via production.csv (x2 semillas)
;;;;
TierMult;market_t1;Multiplicador Mercado T1;1;Velocidad de ciclo
TierMult;market_t2;Multiplicador Mercado T2;1;"En mercado el ""tier"" mejora velocidad via timings.csv"
TierMult;market_t3;Multiplicador Mercado T3;1;
;;;;
# ============================================================;;;;
# ECONOMIA — Reglas generales;;;;
# ============================================================;;;;
Economy;demolish_refund;Porcentaje de reembolso al demoler;0.5;El jugador recupera el 50% de los recursos invertidos
Economy;rotation_cost_gold;Coste de rotar candidatos manualmente;15;Igual que prices.csv rotate_candidates. Debe coincidir
Economy;hire_rep_base_colonists;Colonos libres de coste de reputacion;2;Los primeros N colonos no necesitan reputacion para contratarse
Economy;hire_rep_per_colonist;Reputacion extra requerida por colono;5;Coste de reputacion = (colonos_actuales - base) * valor
Economy;orders_refresh_interval;Frecuencia de renovacion de pedidos;2;Dias que duran los pedidos antes de renovarse
;;;;
# ============================================================;;;;
# RAIDS (Paso N — bandidos);;;;
# ============================================================;;;;
Raid;base_prob_per_day;Probabilidad base de raid por dia;0.003;0.3% por dia. Sube con los dias transcurridos
Raid;scaling_per_day;Incremento de probabilidad por dia;0.0001;Cada dia += 0.01% prob
Raid;base_strength;Fuerza base de un raid;5;Crece con el historial de raids
Raid;strength_per_day;Incremento de fuerza por dia transcurrido;0.1;
Raid;strength_scaling_per_raid;Multiplicador de fuerza por raid previo;0.15;Cada raid completado: fuerza *= 1.15
Raid;warning_days_min;Dias minimos de aviso antes del raid;2;
Raid;warning_days_max;Dias maximos de aviso antes del raid;5;
Raid;gold_reward_base;Recompensa base en oro al repeler raid;20;
Raid;gold_reward_per_raid;Oro extra por raid previo repelido;10;
Raid;resource_loss_pct;Porcentaje de recursos perdidos al fallar;0.2;Se pierde el 20% de madera y comida
Raid;success_scaling_factor;Factor de escalado de exito de mision;0.4;Factor multiplicativo para los atributos de colonos en misiones
Raid;max_attribute_cap;Cap maximo de atributo en formula de exito;10;Limite maximo considerado por colono para exito de misiones
Raid;missions_refresh_interval;Frecuencia de renovacion de misiones;30;Dias que duran las misiones antes de renovarse
;;;;
# ============================================================;;;;
# HERRAMIENTAS (Paso E);;;;
# ============================================================;;;;
Tool;durability_max;Durabilidad maxima de herramienta;100;Todas empiezan al 100%
Tool;durability_loss_t1;Perdida de durabilidad por dia (T1 madera);1.5;~67 dias de vida util
Tool;durability_loss_t2;Perdida de durabilidad por dia (T2 hierro);0.8;~125 dias de vida util
Tool;production_penalty_no_tool;Multiplicador de produccion sin herramienta;0;Sin herramienta el edificio no produce nada
;;;;
# ============================================================;;;;
# AGUA (Paso F) -- Pozos y consumo;;;;
# ============================================================;;;;
Water;well_t1_capacity;Capacidad diaria Pozo T1;50;Agua producida por día por un pozo T1
Water;well_t2_capacity;Capacidad diaria Pozo T2;120;Agua producida por día por un pozo T2
Water;colonist_water_need;Consumo diario por colono;2;Consumo de agua diario por cada colono
Water;water_per_irrigation;Agua por ciclo de riego;5;Consumo de agua por riego de granja
# ============================================================;;;;
# ALMACENAMIENTO (Paso G) -- Capacidad y bonus;;;;
# ============================================================;;;;
Storage;townhall_t1_capacity;Capacidad base Ayto T1;100;Capacidad inicial bajo ayuntamiento T1
Storage;townhall_t2_capacity;Capacidad base Ayto T2;200;Capacidad inicial bajo ayuntamiento T2
Storage;townhall_t3_capacity;Capacidad base Ayto T3;500;Capacidad inicial bajo ayuntamiento T3
Storage;warehouse_t1_bonus;Bonus Almacen T1;200;Aumento de capacidad por almacén T1
Storage;warehouse_t2_bonus;Bonus Almacen T2;500;Aumento de capacidad por almacén T2
Storage;warehouse_t3_bonus;Bonus Almacen T3;1000;Aumento de capacidad por almacén T3
# ============================================================;;;;
# ESPECIALISTAS — Títulos por profesión;;;;
# ============================================================;;;;
SpecialistTitle;woodcutting;Maestro Leñador,Talabosques,Veterano Maderero;0;
SpecialistTitle;mining;Maestro Minero,Excavador Experto,Veterano de la Fosa;0;
SpecialistTitle;farming;Maestro Agricultor,Cultivador Experto,Veterano del Arado;0;
SpecialistTitle;cooking;Maestro Cocinero,Chef de la Colonia,Veterano del Fogón;0;
SpecialistTitle;trading;Maestro Mercader,Negociante Experto,Caravanero Veterano;0;
SpecialistTitle;exploration;Maestro Explorador,Rastreador Experto,Veterano del Sendero;0;
SpecialistTitle;combat;Maestro de Armas,Guerrero Experto,Veterano de Guardia;0;
SpecialistTitle;construction;Maestro Constructor,Edificador Experto,Veterano de la Obra;0;


